feature_set,window_size,n_components,clipping_threshold,link_type,alpha,alpha_reg,l1_ratio,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,10,115,identity,0.1,0.5,0.0,3852.429310965343,0.5,87.98625077495714,94.78401677938409
A,15,10,115,identity,0.1,0.5,0.5,,,,
A,15,10,115,identity,0.1,0.5,0.75,,,,
A,15,10,115,identity,0.1,0.5,1.0,,,,
A,15,10,115,identity,0.5,0.0,0.0,60.92419304537164,0.8244053501953281,25.022274403863964,29.39922550627793
A,15,10,115,identity,0.5,0.0,0.5,60.92419304537164,0.8244053501953281,25.022274403863964,29.39922550627793
A,15,10,115,identity,0.5,0.0,0.75,60.92419304537164,0.8244053501953281,25.022274403863964,29.39922550627793
A,15,10,115,identity,0.5,0.05,0.0,3852.429310965343,0.5,87.98625077495714,94.78401677938409
A,15,10,115,identity,0.5,0.0,1.0,60.92419304537164,0.8244053501953281,25.022274403863964,29.39922550627793
A,15,10,115,identity,0.5,0.05,0.75,,,,
A,15,10,115,identity,0.5,0.05,0.5,,,,
A,15,10,115,identity,0.5,0.05,1.0,,,,
A,15,10,115,identity,0.5,0.1,0.0,3852.429310965343,0.5,87.98625077495714,94.78401677938409
A,15,10,115,identity,0.5,0.1,0.5,,,,
A,15,10,115,identity,0.5,0.1,0.75,,,,
A,15,10,115,identity,0.5,0.1,1.0,,,,
A,15,10,115,identity,0.5,0.5,0.0,3852.429310965343,0.5,87.98625077495714,94.78401677938409
A,15,10,115,identity,0.5,0.5,0.5,,,,
A,15,10,115,identity,0.5,0.5,0.75,,,,
A,15,10,115,identity,0.5,0.5,1.0,,,,
A,15,10,115,identity,1.0,0.0,0.0,7.657713805109928,0.8218074198672513,17.03911376344866,20.900973432596405
A,15,10,115,identity,1.0,0.0,0.5,7.657713805109928,0.8218074198672513,17.03911376344866,20.900973432596405
A,15,10,115,identity,1.0,0.0,0.75,7.657713805109928,0.8218074198672513,17.03911376344866,20.900973432596405
A,15,10,115,identity,1.0,0.0,1.0,7.657713805109928,0.8218074198672513,17.03911376344866,20.900973432596405
A,15,10,115,identity,1.0,0.05,0.0,3852.429310965343,0.5,87.98625077495714,94.78401677938409
A,15,10,115,identity,1.0,0.05,0.5,,,,
A,15,10,115,identity,1.0,0.05,0.75,,,,
A,15,10,115,identity,1.0,0.05,1.0,,,,
A,15,10,115,identity,1.0,0.1,0.0,3852.429310965343,0.5,87.98625077495714,94.78401677938409
A,15,10,115,identity,1.0,0.1,0.5,,,,
A,15,10,115,identity,1.0,0.1,0.75,,,,
A,15,10,115,identity,1.0,0.1,1.0,,,,
A,15,10,115,identity,1.0,0.5,0.0,3852.429310965343,0.5,87.98625077495714,94.78401677938409
A,15,10,115,identity,1.0,0.5,0.5,,,,
A,15,10,115,identity,1.0,0.5,0.75,,,,
A,15,10,115,identity,1.0,0.5,1.0,,,,
A,15,10,115,identity,1.5,0.0,0.0,243.32696812595367,0.8235249231981138,28.93179488238078,33.28493210069536
A,15,10,115,identity,1.5,0.0,0.5,243.32696812595367,0.8235249231981138,28.93179488238078,33.28493210069536
A,15,10,115,identity,1.5,0.0,0.75,243.32696812595367,0.8235249231981138,28.93179488238078,33.28493210069536
A,15,10,115,identity,1.5,0.0,1.0,243.32696812595367,0.8235249231981138,28.93179488238078,33.28493210069536
A,15,10,115,identity,1.5,0.05,0.0,3852.429310965343,0.5,87.98625077495714,94.78401677938409
A,15,10,115,identity,1.5,0.05,0.5,,,,
A,15,10,115,identity,1.5,0.05,0.75,,,,
A,15,10,115,identity,1.5,0.05,1.0,,,,
A,15,10,115,identity,1.5,0.1,0.0,3852.429310965343,0.5,87.98625077495714,94.78401677938409
A,15,10,115,identity,1.5,0.1,0.5,,,,
A,15,10,115,identity,1.5,0.1,0.75,,,,
A,15,10,115,identity,1.5,0.1,1.0,,,,
A,15,10,115,identity,1.5,0.5,0.0,3852.429310965343,0.5,87.98625077495714,94.78401677938409
A,15,10,115,identity,1.5,0.5,0.5,,,,
A,15,10,115,identity,1.5,0.5,0.75,,,,
A,15,10,115,identity,1.5,0.5,1.0,,,,
A,15,10,115,sqrt,0.1,0.0,0.0,1827.7344759479176,0.7935864063827326,18.74980959677238,24.56511694330238
A,15,10,115,sqrt,0.1,0.0,0.5,1827.7344759479176,0.7935864063827326,18.74980959677238,24.56511694330238
A,15,10,115,sqrt,0.1,0.0,0.75,1827.7344759479176,0.7935864063827326,18.74980959677238,24.56511694330238
A,15,10,115,sqrt,0.1,0.0,1.0,1827.7344759479176,0.7935864063827326,18.74980959677238,24.56511694330238
A,15,10,115,sqrt,0.1,0.05,0.0,3852.429310965343,0.5,87.98625077495714,94.78401677938409
A,15,10,115,sqrt,0.1,0.05,0.5,,,,
A,15,10,115,sqrt,0.1,0.05,0.75,,,,
A,15,10,115,sqrt,0.1,0.1,0.0,3852.429310965343,0.5,87.98625077495714,94.78401677938409
