feature_set,window_size,n_components,clipping_threshold,n_estimators,max_depth,min_samples_leaf,max_features,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,10,120,50,,1,sqrt,5.469031109975663,0.867521757875866,10.556952368986732,14.870041247157795
A,15,10,120,50,,1,1.0,5.931080585403347,0.865855699667855,10.378930685623247,15.16659545358383
A,15,10,120,50,,5,sqrt,5.344955250091557,0.8710339133504819,10.472854056151812,14.708911650753835
A,15,10,120,50,,5,1.0,5.897352379779704,0.8690070523847495,10.218107869219384,14.96724223593588
A,15,10,120,50,,10,sqrt,5.354657560411556,0.8710739382397079,10.585773273331396,14.728478417037412
A,15,10,120,50,,10,1.0,5.870991138185424,0.870200425771676,10.151591971189522,14.856409923242524
A,15,10,120,100,5.0,1,sqrt,7.820470034286794,0.8523476217945261,14.457375130683166,17.370525225008173
A,15,10,120,100,5.0,1,1.0,5.928736205426844,0.8700017827995028,10.746007799059834,15.086167358884657
A,15,10,120,100,5.0,5,sqrt,7.860232966035531,0.8524284855055921,14.412250711097508,17.354340890094015
A,15,10,120,100,5.0,5,1.0,5.928092951831351,0.8700366187118671,10.746087298712611,15.084832859727925
A,15,10,120,100,5.0,10,sqrt,7.785288347055899,0.8521507594371739,14.326308101282212,17.286476984474945
A,15,10,120,100,5.0,10,1.0,5.926244538082783,0.8700793230881066,10.744743824072865,15.082642881617955
A,15,10,120,100,10.0,1,sqrt,5.6291735582776345,0.8715979788169843,11.14322149255269,14.880825816176738
A,15,10,120,100,10.0,1,1.0,5.770521696824855,0.8731430054268096,10.083492072231564,14.764559935595594
A,15,10,120,100,10.0,5,sqrt,5.629992064100772,0.8715066821598985,11.103280215064148,14.874323267764373
A,15,10,120,100,10.0,5,1.0,5.778079921048942,0.8730658756562454,10.07989355312652,14.75495893221194
A,15,10,120,100,10.0,10,sqrt,5.609261792102008,0.8709493197277821,11.2249318601874,14.933301251404666
A,15,10,120,100,10.0,10,1.0,5.738163229891102,0.8731781354398149,10.07537925375957,14.734404006342752
A,15,10,120,100,,1,sqrt,5.328264283783159,0.8691522736039177,10.52090725196934,14.775847713931675
A,15,10,120,100,,1,1.0,5.817916099231655,0.8667795115050965,10.366579012528405,15.099738497229271
A,15,10,120,100,,5,sqrt,5.318407964149952,0.8714146421328101,10.489457966817994,14.684415455987054
A,15,10,120,100,,5,1.0,5.807271066447359,0.8691673135664006,10.214279503014762,14.938686887921056
A,15,10,120,100,,10,sqrt,5.286085434645416,0.8717331036602907,10.563351727320294,14.691292230894453
A,15,10,120,100,,10,1.0,5.744475594757943,0.8705754132335907,10.148692908578887,14.838026767978253
A,15,10,120,200,5.0,1,sqrt,7.800299729585953,0.8536308612240291,14.54729917556573,17.425992759812893
A,15,10,120,200,5.0,1,1.0,5.930250802993915,0.870830420472865,10.730863227823097,15.0698834311445
A,15,10,120,200,5.0,5,sqrt,7.840929374558639,0.8534439820664635,14.560665344691731,17.449630134263877
A,15,10,120,200,5.0,5,1.0,5.929315592174673,0.8708527746574131,10.731298148686053,15.068243079390118
A,15,10,120,200,5.0,10,sqrt,7.819216545647542,0.8532423854657228,14.518876867765515,17.421520328851294
A,15,10,120,200,5.0,10,1.0,5.9278230525581534,0.8708547423834372,10.730184651196115,15.066377891860494
A,15,10,120,200,10.0,1,sqrt,5.653965305803653,0.871464402103323,11.194769038837304,14.911226310136508
A,15,10,120,200,10.0,1,1.0,5.755064931798034,0.8734316884673288,10.068224546791177,14.740391887117346
A,15,10,120,200,10.0,5,sqrt,5.6582867659189295,0.8719314195172492,11.18137115951338,14.916476115219933
A,15,10,120,200,10.0,5,1.0,5.761051244099805,0.8733063210347731,10.069040163816796,14.7350997516435
A,15,10,120,200,10.0,10,sqrt,5.597627847796414,0.8713318867022004,11.24806310803094,14.930989728351658
A,15,10,120,200,10.0,10,1.0,5.704926749709498,0.8733413096853517,10.06400248066767,14.716163624399192
A,15,10,120,200,,1,sqrt,5.312294725584282,0.8700625488624588,10.508841134351254,14.747259844163532
A,15,10,120,200,,1,1.0,5.786794475458743,0.8674482672562407,10.338248356921046,15.05361630981237
A,15,10,120,200,,5,sqrt,5.299167180503654,0.8717504421213077,10.477276948512664,14.657500486605064
A,15,10,120,200,,5,1.0,5.807587670092845,0.8694834363435611,10.200057900113674,14.91560193979094
A,15,10,120,200,,10,sqrt,5.268517263303014,0.8721472189267356,10.568780010766364,14.67020310846758
A,15,10,120,200,,10,1.0,5.740796079467531,0.8708440810878197,10.137852328880232,14.825677258312837
A,15,10,125,50,5.0,1,sqrt,9.67618123362916,0.8436160398782441,15.743701960259198,18.73790901499414
A,15,10,125,50,5.0,1,1.0,7.352420221760899,0.8627852740237033,11.824583412901726,16.23572741003624
A,15,10,125,50,5.0,5,sqrt,9.852998293989916,0.8435061150416127,15.66370404619401,18.73588781145478
A,15,10,125,50,5.0,5,1.0,7.351704967542193,0.862796368642362,11.825008782693502,16.234592248991373
A,15,10,125,50,5.0,10,sqrt,9.792394828557482,0.842967080441283,15.507835581269868,18.617844607366543
A,15,10,125,50,5.0,10,1.0,7.351440110962744,0.8628217051515705,11.824973415055648,16.232819891211
A,15,10,125,50,10.0,1,sqrt,7.132425151130901,0.8627835850436233,12.221623464721509,16.112724599350162
A,15,10,125,50,10.0,1,1.0,7.341053677884335,0.8644868256388977,11.132718779526131,15.943524107468628
A,15,10,125,50,10.0,5,sqrt,7.011560141498177,0.8622857478317723,12.246990959185911,16.09463071901643
A,15,10,125,50,10.0,5,1.0,7.304679602597355,0.8643708597162195,11.131324827216476,15.92937488115108
