feature_set,window_size,n_components,clipping_threshold,max_depth,min_samples_leaf,min_samples_split,max_features,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,10,115,,1,10,1.0,12.426954869597584,0.8294599482467502,10.839512959275194,17.97032509457514
A,15,10,115,,5,2,sqrt,11.558348086021324,0.8354021801953447,10.941317527501662,17.456525608535983
A,15,10,115,,5,2,1.0,9.856624419773572,0.8375320010742637,10.248087473579515,16.866213603904676
A,15,10,115,,5,10,sqrt,11.558348086021324,0.8354021801953447,10.941317527501662,17.456525608535983
A,15,10,115,,5,10,1.0,9.856624419773572,0.8375320010742637,10.248087473579515,16.866213603904676
A,15,10,115,,10,2,sqrt,12.432091718383607,0.8389397255311135,11.038223537373444,16.952032997882633
A,15,10,115,,10,2,1.0,7.864164571623457,0.8510916301805864,9.814917411595752,15.767653672513697
A,15,10,115,,10,10,sqrt,12.432091718383607,0.8389397255311135,11.038223537373444,16.952032997882633
A,15,10,115,,10,10,1.0,7.864164571623457,0.8510916301805864,9.814917411595752,15.767653672513697
A,15,10,120,5.0,1,2,sqrt,53.63881616972405,0.7296804096387245,16.453025656117376,20.925977023395248
A,15,10,120,5.0,1,2,1.0,6.985711348446294,0.8587127016435625,11.010556801605802,15.69500037421362
A,15,10,120,5.0,1,10,sqrt,51.60105028943293,0.723466394394103,16.92128785274145,21.503745585742898
A,15,10,120,5.0,1,10,1.0,6.985711348446294,0.8587127016435625,11.010556801605802,15.69500037421362
A,15,10,120,5.0,5,2,sqrt,40.79298126589541,0.7250173180313008,16.888087628443554,21.421780152412047
A,15,10,120,5.0,5,2,1.0,6.985711348446294,0.8587127016435625,11.010556801605802,15.69500037421362
A,15,10,120,5.0,5,10,sqrt,40.79298126589541,0.7250173180313008,16.888087628443554,21.421780152412047
A,15,10,120,5.0,5,10,1.0,6.985711348446294,0.8587127016435625,11.010556801605802,15.69500037421362
A,15,10,120,5.0,10,2,sqrt,27.874428359474955,0.7325348939052215,16.297265496929906,20.710932168804913
A,15,10,120,5.0,10,2,1.0,6.985711348446294,0.8587127016435625,11.010556801605802,15.69500037421362
A,15,10,120,5.0,10,10,sqrt,27.874428359474955,0.7325348939052215,16.297265496929906,20.710932168804913
A,15,10,120,5.0,10,10,1.0,6.985711348446294,0.8587127016435625,11.010556801605802,15.69500037421362
A,15,10,120,10.0,1,2,sqrt,11.51464376659022,0.8314215840154257,12.343183329889074,17.269020413548795
A,15,10,120,10.0,1,2,1.0,12.72952028305703,0.8529589732238483,10.946999678856969,16.825841578010984
A,15,10,120,10.0,1,10,sqrt,25.191873661055098,0.8126083123830595,13.536624374207582,18.837491233626377
A,15,10,120,10.0,1,10,1.0,11.11858129889429,0.8555225821293112,10.89445531813124,16.681477699788644
A,15,10,120,10.0,5,2,sqrt,13.269844312362807,0.83228052189056,12.388903107607058,17.38414991514804
A,15,10,120,10.0,5,2,1.0,10.119731051197116,0.8543932618012011,10.815942274757973,16.472296864334105
A,15,10,120,10.0,5,10,sqrt,13.269844312362807,0.83228052189056,12.388903107607058,17.38414991514804
A,15,10,120,10.0,5,10,1.0,10.119731051197116,0.8543932618012011,10.815942274757973,16.472296864334105
A,15,10,120,10.0,10,2,sqrt,27.869072100471065,0.8078447446339583,13.614913157995897,18.837690557070076
A,15,10,120,10.0,10,2,1.0,8.566459696757926,0.8576903257014925,10.660383257573452,16.155158599304695
A,15,10,120,10.0,10,10,sqrt,27.869072100471065,0.8078447446339583,13.614913157995897,18.837690557070076
A,15,10,120,10.0,10,10,1.0,8.566459696757926,0.8576903257014925,10.660383257573452,16.155158599304695
A,15,10,120,,1,2,sqrt,26.72654403472769,0.7982740053320775,13.447002903456148,21.407815122163367
A,15,10,120,,1,2,1.0,23.354238685228605,0.8112691219272122,12.441055077648695,20.450822286558644
A,15,10,120,,1,10,sqrt,22.740203106194382,0.8150728890385939,12.833871738514024,20.158903503881323
A,15,10,120,,1,10,1.0,19.14243076301824,0.8218498044691476,12.101393770099495,19.56459137835086
A,15,10,120,,5,2,sqrt,25.548905167826188,0.8202204311415036,12.53744864472862,19.38610732892659
A,15,10,120,,5,2,1.0,14.833119027611176,0.8314748466923157,11.468381562982227,18.363909074356727
A,15,10,120,,5,10,sqrt,25.548905167826188,0.8202204311415036,12.53744864472862,19.38610732892659
A,15,10,120,,5,10,1.0,14.833119027611176,0.8314748466923157,11.468381562982227,18.363909074356727
A,15,10,120,,10,2,sqrt,10.651451243575554,0.8371069864873546,11.817613455801359,17.672245807458662
A,15,10,120,,10,2,1.0,10.513346481433702,0.8442381259201006,10.926765638354341,17.108826118340254
A,15,10,120,,10,10,sqrt,10.651451243575554,0.8371069864873546,11.817613455801359,17.672245807458662
A,15,10,120,,10,10,1.0,10.513346481433702,0.8442381259201006,10.926765638354341,17.108826118340254
A,15,10,125,5.0,1,2,sqrt,72.59857373659683,0.7268058207953245,17.752586430291803,22.34054678146312
A,15,10,125,5.0,1,2,1.0,9.249194770441628,0.8498113345724825,12.17272514637566,17.025422557179656
A,15,10,125,5.0,1,10,sqrt,70.10097131643649,0.7193540207649847,18.27436044123827,22.928556080708056
A,15,10,125,5.0,1,10,1.0,9.249194770441628,0.8498113345724825,12.17272514637566,17.025422557179656
A,15,10,125,5.0,5,2,sqrt,52.37082837566875,0.7205633543813758,18.242259348686957,22.847991138721653
A,15,10,125,5.0,5,2,1.0,9.249194770441628,0.8498113345724825,12.17272514637566,17.025422557179656
A,15,10,125,5.0,5,10,sqrt,52.37082837566875,0.7205633543813758,18.242259348686957,22.847991138721653
A,15,10,125,5.0,5,10,1.0,9.249194770441628,0.8498113345724825,12.17272514637566,17.025422557179656
A,15,10,125,5.0,10,2,sqrt,35.8863349035165,0.7276786034596835,17.64593634280488,22.110631039067222
A,15,10,125,5.0,10,2,1.0,9.249194770441628,0.8498113345724825,12.17272514637566,17.025422557179656
A,15,10,125,5.0,10,10,sqrt,35.8863349035165,0.7276786034596835,17.64593634280488,22.110631039067222
A,15,10,125,5.0,10,10,1.0,9.249194770441628,0.8498113345724825,12.17272514637566,17.025422557179656
A,15,10,125,10.0,1,2,sqrt,19.24084259924647,0.8205034464126248,13.55260630376257,18.790190027618582
A,15,10,125,10.0,1,2,1.0,16.60835573849864,0.8466815418549833,11.94423704186757,17.971248399206655
A,15,10,125,10.0,1,10,sqrt,16.020978794053867,0.8149112219657061,13.924995887982817,19.022541687206775
A,15,10,125,10.0,1,10,1.0,15.648862838943236,0.8477839310154394,11.93390214473176,17.888107443039765
A,15,10,125,10.0,5,2,sqrt,13.08194820378813,0.8286262503867071,13.183986481526087,18.1765184729203
A,15,10,125,10.0,5,2,1.0,12.97828475829077,0.8485609946670687,11.865878095971022,17.667563874326877
A,15,10,125,10.0,5,10,sqrt,13.08194820378813,0.8286262503867071,13.183986481526087,18.1765184729203
A,15,10,125,10.0,5,10,1.0,12.97828475829077,0.8485609946670687,11.865878095971022,17.667563874326877
A,15,10,125,10.0,10,2,sqrt,21.89126515127836,0.8125946293358755,14.267038079100752,19.3678149152863
A,15,10,125,10.0,10,2,1.0,11.419011702686811,0.8513757962729936,11.732063360873186,17.380811853319525
A,15,10,125,10.0,10,10,sqrt,21.89126515127836,0.8125946293358755,14.267038079100752,19.3678149152863
A,15,10,125,10.0,10,10,1.0,11.419011702686811,0.8513757962729936,11.732063360873186,17.380811853319525
A,15,10,125,,1,2,sqrt,41.899552914075606,0.7951935902701484,14.658437453927343,22.957257044927957
A,15,10,125,,1,2,1.0,32.279545010319154,0.8046189894840066,13.804566519292681,22.051052204595045
A,15,10,125,,1,10,sqrt,43.139219494757015,0.8095956608702268,14.056634675023513,21.566756043231866
A,15,10,125,,1,10,1.0,24.891084501787233,0.8142604758814243,13.389845801428356,20.99433253631994
A,15,10,125,,5,2,sqrt,22.023841641580656,0.8162055720256163,13.585807834412744,20.42505703669611
A,15,10,125,,5,2,1.0,19.599949974923014,0.8236880704618198,12.766790723193782,19.8435805835905
A,15,10,125,,5,10,sqrt,22.023841641580656,0.8162055720256163,13.585807834412744,20.42505703669611
A,15,10,125,,5,10,1.0,19.599949974923014,0.8236880704618198,12.766790723193782,19.8435805835905
A,15,10,125,,10,2,sqrt,18.024732265678885,0.82508708790434,13.255879021017424,19.297345901970782
A,15,10,125,,10,2,1.0,14.756076631572402,0.8350770661843094,12.224416263524128,18.595089267068076
A,15,10,125,,10,10,sqrt,18.024732265678885,0.82508708790434,13.255879021017424,19.297345901970782
A,15,10,125,,10,10,1.0,14.756076631572402,0.8350770661843094,12.224416263524128,18.595089267068076
A,15,10,130,5.0,1,2,sqrt,86.61559513603974,0.7297475796879249,16.9967864700603,22.36335863865347
A,15,10,130,5.0,1,2,1.0,11.035993831168675,0.8496752488798889,11.514109562185059,17.211174998904486
A,15,10,130,5.0,1,10,sqrt,82.69171438057634,0.7218243218770761,17.52523990032804,22.937418435697715
A,15,10,130,5.0,1,10,1.0,11.035993831168675,0.8496752488798889,11.514109562185059,17.211174998904486
A,15,10,130,5.0,5,2,sqrt,64.89193551145456,0.7230291279891523,17.498123494848805,22.861876151718633
A,15,10,130,5.0,5,2,1.0,11.035993831168675,0.8496752488798889,11.514109562185059,17.211174998904486
A,15,10,130,5.0,5,10,sqrt,64.89193551145456,0.7230291279891523,17.498123494848805,22.861876151718633
A,15,10,130,5.0,5,10,1.0,11.035993831168675,0.8496752488798889,11.514109562185059,17.211174998904486
A,15,10,130,5.0,10,2,sqrt,42.19751058280451,0.7328119536183755,16.72419975424335,22.00792361001648
A,15,10,130,5.0,10,2,1.0,11.035993831168675,0.8496752488798889,11.514109562185059,17.211174998904486
A,15,10,130,5.0,10,10,sqrt,42.19751058280451,0.7328119536183755,16.72419975424335,22.00792361001648
A,15,10,130,5.0,10,10,1.0,11.035993831168675,0.8496752488798889,11.514109562185059,17.211174998904486
A,15,10,130,10.0,1,2,sqrt,61.22765511837137,0.8094396922838463,13.630712548798874,19.85571871172673
A,15,10,130,10.0,1,2,1.0,20.874461860525365,0.8426520977663703,11.539402465125358,18.37015181488575
A,15,10,130,10.0,1,10,sqrt,27.9573437897261,0.8206384890731068,13.165463243982241,19.29670152860533
A,15,10,130,10.0,1,10,1.0,18.66637789613305,0.8446072820534873,11.471427302108756,18.18158207645569
A,15,10,130,10.0,5,2,sqrt,17.242584663540704,0.8258917224619895,12.739984194649017,18.603209071694046
A,15,10,130,10.0,5,2,1.0,16.48323530171353,0.8459083566611343,11.442649758741439,18.028113327929354
A,15,10,130,10.0,5,10,sqrt,17.242584663540704,0.8258917224619895,12.739984194649017,18.603209071694046
A,15,10,130,10.0,5,10,1.0,16.48323530171353,0.8459083566611343,11.442649758741439,18.028113327929354
A,15,10,130,10.0,10,2,sqrt,22.74574936302128,0.8184323383388815,13.073186336228293,19.07266576082636
