feature_set,window_size,n_components,clipping_threshold,kernel,C,epsilon,gamma,degree,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,10,120,poly,0.1,0.01,0.01,2,167.07954020796836,0.6324854424275631,25.060686061072488,33.90442627818664
A,15,10,120,poly,0.1,0.01,0.01,3,101.55536090871377,0.8324526620830992,22.23400870220232,30.16588103894913
A,15,10,120,poly,0.1,0.1,scale,2,102.9395110907182,0.6592097666686983,22.35606595023593,30.134517284858287
A,15,10,120,poly,0.1,0.1,scale,3,38.99298119241462,0.8533564051694876,19.120092136958,24.9960899656219
A,15,10,120,poly,0.1,0.1,0.01,2,167.23528455678587,0.6324897471598219,25.06116027153972,33.90959070936754
A,15,10,120,poly,0.1,0.1,0.01,3,101.5443665667968,0.8324517945670113,22.233525549748187,30.164799980991244
A,15,10,120,poly,1.0,0.01,scale,2,133.82090803012005,0.677129746034423,21.54372861767102,29.055268757389378
A,15,10,120,poly,1.0,0.01,0.01,2,103.06987763365112,0.6594794273524001,22.342582129979,30.117215681848784
A,15,10,120,poly,1.0,0.01,scale,3,29.49966026721744,0.8601836294527383,16.61759799415584,21.26067509025722
A,15,10,120,poly,1.0,0.01,0.01,3,63.00995134245564,0.8468594032853318,20.02868360828374,26.48520572172524
A,15,10,120,poly,1.0,0.1,scale,2,133.81679388749748,0.6771494855440163,21.54334326676389,29.052303027485102
A,15,10,120,poly,1.0,0.1,0.01,2,102.96833163673276,0.6595059679962905,22.34026017635334,30.113752832834944
A,15,10,120,poly,1.0,0.1,scale,3,29.486326833237275,0.8601922998540967,16.614244112947336,21.25827803539265
A,15,10,120,poly,1.0,0.1,0.01,3,62.98386118873488,0.8468931375274377,20.027812271254245,26.4834271807977
A,15,10,120,poly,10.0,0.01,scale,2,138.89054784131068,0.679724307361312,21.461835273034065,28.94990607630451
A,15,10,120,poly,10.0,0.01,0.01,2,133.89939611624112,0.6771826441177675,21.54382121166833,29.05549910680021
A,15,10,120,poly,10.0,0.01,scale,3,39.85284538909351,0.8562265386935571,15.875512326001749,20.243450161850024
A,15,10,120,poly,10.0,0.01,0.01,3,27.9842879867028,0.8584161334990584,17.7241552685475,22.86219414230566
A,15,10,120,poly,10.0,0.1,scale,2,138.92755070117596,0.6797207625960312,21.462163730801382,28.954050635441654
