feature_set,window_size,n_components,clipping_threshold,link_type,alpha,alpha_reg,l1_ratio,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,15,115,log,1.5,0.5,0.5,214.28474537531343,0.8588481561433211,55.04720628143343,60.537371418567396
A,15,15,115,log,1.5,0.5,1.0,62.06028967673755,0.8488863810222085,40.0071120624559,45.622568171550974
A,15,15,120,log,0.1,0.0,0.0,5.386098160101356,0.866290572977857,13.423267833495544,17.924621960139117
A,15,15,120,log,0.1,0.0,0.5,5.386098160101356,0.866290572977857,13.423267833495544,17.924621960139117
A,15,15,120,log,0.1,0.0,1.0,5.386098160101356,0.866290572977857,13.423267833495544,17.924621960139117
A,15,15,120,log,0.1,0.1,0.0,5.857299926766373,0.8671613403920748,14.3813923793202,19.21434741813847
A,15,15,120,log,0.1,0.1,0.5,5.611240714910375,0.8664935530137917,14.044626669941588,18.732185307823045
A,15,15,120,log,0.1,0.1,1.0,5.457399099694131,0.8658056126158019,13.756109939831324,18.309621401794473
A,15,15,120,log,0.1,0.5,0.0,11.953809583366223,0.8681632695536953,20.2612571795484,26.09499356576419
A,15,15,120,log,0.1,0.5,0.5,8.405975567917006,0.8665348000312832,17.3907189643214,22.901726988082864
A,15,15,120,log,0.1,0.5,1.0,6.106898329883287,0.8640166901010075,15.101902692284309,19.979452413641315
A,15,15,120,log,0.5,0.0,0.0,5.594198106515331,0.8652752041706023,13.426981252798711,18.073897115253246
A,15,15,120,log,0.5,0.0,0.5,5.594198106515331,0.8652752041706023,13.426981252798711,18.073897115253246
A,15,15,120,log,0.5,0.0,1.0,5.594198106515331,0.8652752041706023,13.426981252798711,18.073897115253246
A,15,15,120,log,0.5,0.1,0.0,11.110130367309333,0.8673101183376375,19.342951601466375,25.254193158704112
A,15,15,120,log,0.5,0.1,0.5,8.206503522579915,0.8655390507690962,16.904332513855675,22.48702984107539
A,15,15,120,log,0.5,0.5,0.0,90.77010925705159,0.8677725188644431,43.416634367960015,48.98607925919467
A,15,15,120,log,0.5,0.1,1.0,6.227251159325337,0.8635675535902095,14.911836123703083,19.902626797852683
