feature_set,window_size,n_components,clipping_threshold,baseline_estimation_method,n_baseline_knots,penalizer,l1_ratio,confidence_threshold,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,20,10,120,breslow,3,0.1,0.5,0.5,7332.902686069021,0.5428779793535482,34.578899224437365,49.564677783387346
A,20,10,120,breslow,3,0.1,0.5,0.95,,,,
A,20,10,120,breslow,3,0.1,1.0,0.3,7230.480293796501,0.5445412032071906,34.55166518188418,49.474194062061066
A,20,10,120,breslow,3,0.1,1.0,0.5,7332.902686069021,0.5428779793535482,34.578899224437365,49.564677783387346
A,20,10,120,breslow,3,0.1,1.0,0.95,,,,
A,20,10,120,breslow,3,1.0,0.0,0.3,7230.480293796501,0.5445412032071906,34.55166518188418,49.474194062061066
A,20,10,120,breslow,3,1.0,0.0,0.5,7332.902686069021,0.5428779793535482,34.578899224437365,49.564677783387346
A,20,10,120,breslow,3,1.0,0.0,0.95,,,,
A,20,10,120,breslow,3,1.0,0.5,0.3,7230.480293796501,0.5445412032071906,34.55166518188418,49.474194062061066
A,20,10,120,breslow,3,1.0,0.5,0.5,7332.902686069021,0.5428779793535482,34.578899224437365,49.564677783387346
A,20,10,120,breslow,3,1.0,0.5,0.95,,,,
A,20,10,120,breslow,3,1.0,1.0,0.3,7230.480293796501,0.5445412032071906,34.55166518188418,49.474194062061066
A,20,10,120,breslow,3,1.0,1.0,0.5,7332.902686069021,0.5428779793535482,34.578899224437365,49.564677783387346
A,20,10,120,breslow,3,1.0,1.0,0.95,,,,
A,20,10,120,breslow,5,0.0,0.0,0.3,,,,
A,20,10,120,breslow,5,0.0,0.0,0.5,,,,
A,20,10,120,breslow,5,0.0,0.0,0.95,,,,
A,20,10,120,breslow,5,0.0,0.5,0.3,,,,
A,20,10,120,breslow,5,0.0,0.5,0.5,,,,
A,20,10,120,breslow,5,0.0,0.5,0.95,,,,
A,20,10,120,breslow,5,0.0,1.0,0.3,,,,
A,20,10,120,breslow,5,0.0,1.0,0.5,,,,
A,20,10,120,breslow,5,0.0,1.0,0.95,,,,
A,20,10,120,breslow,5,0.1,0.0,0.3,7193.130586913752,0.5447228566171923,34.545239454524335,49.461143499894156
A,20,10,120,breslow,5,0.1,0.0,0.5,7332.890040088091,0.5428786303483293,34.578331848550846,49.56404930228181
A,20,10,120,breslow,5,0.1,0.0,0.95,,,,
A,20,10,120,breslow,5,0.1,0.5,0.3,7230.480293796501,0.5445412032071906,34.55166518188418,49.474194062061066
A,20,10,120,breslow,5,0.1,0.5,0.5,7332.902686069021,0.5428779793535482,34.578899224437365,49.564677783387346
A,20,10,120,breslow,5,0.1,0.5,0.95,,,,
A,20,10,120,breslow,5,0.1,1.0,0.3,7230.480293796501,0.5445412032071906,34.55166518188418,49.474194062061066
A,20,10,120,breslow,5,0.1,1.0,0.5,7332.902686069021,0.5428779793535482,34.578899224437365,49.564677783387346
A,20,10,120,breslow,5,0.1,1.0,0.95,,,,
A,20,10,120,breslow,5,1.0,0.0,0.3,7230.480293796501,0.5445412032071906,34.55166518188418,49.474194062061066
A,20,10,120,breslow,5,1.0,0.0,0.5,7332.902686069021,0.5428779793535482,34.578899224437365,49.564677783387346
A,20,10,120,breslow,5,1.0,0.0,0.95,,,,
A,20,10,120,breslow,5,1.0,0.5,0.3,7230.480293796501,0.5445412032071906,34.55166518188418,49.474194062061066
A,20,10,120,breslow,5,1.0,0.5,0.5,7332.902686069021,0.5428779793535482,34.578899224437365,49.564677783387346
A,20,10,120,breslow,5,1.0,0.5,0.95,,,,
A,20,10,120,breslow,5,1.0,1.0,0.3,7230.480293796501,0.5445412032071906,34.55166518188418,49.474194062061066
A,20,10,120,breslow,5,1.0,1.0,0.5,7332.902686069021,0.5428779793535482,34.578899224437365,49.564677783387346
A,20,10,120,breslow,5,1.0,1.0,0.95,,,,
A,20,10,120,spline,3,0.0,0.0,0.3,,,,
A,20,10,120,spline,3,0.0,0.0,0.5,,,,
A,20,10,120,spline,3,0.0,0.0,0.95,,,,
A,20,10,120,spline,3,0.0,0.5,0.3,,,,
A,20,10,120,spline,3,0.0,0.5,0.5,,,,
A,20,10,120,spline,3,0.0,0.5,0.95,,,,
A,20,10,120,spline,3,0.0,1.0,0.3,,,,
A,20,10,120,spline,3,0.0,1.0,0.5,,,,
A,20,10,120,spline,3,0.0,1.0,0.95,,,,
A,20,10,120,spline,3,0.1,0.0,0.3,,,,
A,20,10,120,spline,3,0.1,0.0,0.5,,,,
A,20,10,120,spline,3,0.1,0.0,0.95,,,,
A,20,10,120,spline,3,0.1,0.5,0.3,,,,
A,20,10,120,spline,3,0.1,0.5,0.5,,,,
A,20,10,120,spline,3,0.1,0.5,0.95,,,,
A,20,10,120,spline,3,0.1,1.0,0.3,,,,
A,20,10,120,spline,3,0.1,1.0,0.5,,,,
A,20,10,120,spline,3,0.1,1.0,0.95,,,,
A,20,10,120,spline,3,1.0,0.0,0.3,,,,
A,20,10,120,spline,3,1.0,0.0,0.5,,,,
A,20,10,120,spline,3,1.0,0.0,0.95,,,,
A,20,10,120,spline,3,1.0,0.5,0.3,,,,
A,20,10,120,spline,3,1.0,0.5,0.5,,,,
A,20,10,120,spline,3,1.0,0.5,0.95,,,,
A,20,10,120,spline,3,1.0,1.0,0.3,,,,
A,20,10,120,spline,3,1.0,1.0,0.5,,,,
A,20,10,120,spline,3,1.0,1.0,0.95,,,,
A,20,10,120,spline,5,0.0,0.0,0.3,,,,
A,20,10,120,spline,5,0.0,0.0,0.5,,,,
A,20,10,120,spline,5,0.0,0.0,0.95,,,,
A,20,10,120,spline,5,0.0,0.5,0.3,,,,
A,20,10,120,spline,5,0.0,0.5,0.5,,,,
A,20,10,120,spline,5,0.0,0.5,0.95,,,,
A,20,10,120,spline,5,0.0,1.0,0.3,,,,
A,20,10,120,spline,5,0.0,1.0,0.5,,,,
A,20,10,120,spline,5,0.0,1.0,0.95,,,,
A,20,10,120,spline,5,0.1,0.0,0.3,,,,
A,20,10,120,spline,5,0.1,0.0,0.5,,,,
A,20,10,120,spline,5,0.1,0.0,0.95,,,,
A,20,10,120,spline,5,0.1,0.5,0.3,,,,
A,20,10,120,spline,5,0.1,0.5,0.5,,,,
A,20,10,120,spline,5,0.1,0.5,0.95,,,,
A,20,10,120,spline,5,0.1,1.0,0.3,,,,
A,20,10,120,spline,5,0.1,1.0,0.5,,,,
A,20,10,120,spline,5,0.1,1.0,0.95,,,,
A,20,10,120,spline,5,1.0,0.0,0.3,,,,
A,20,10,120,spline,5,1.0,0.0,0.5,,,,
A,20,10,120,spline,5,1.0,0.0,0.95,,,,
A,20,10,120,spline,5,1.0,0.5,0.3,,,,
A,20,10,120,spline,5,1.0,0.5,0.5,,,,
A,20,10,120,spline,5,1.0,0.5,0.95,,,,
A,20,10,120,spline,5,1.0,1.0,0.3,,,,
A,20,10,120,spline,5,1.0,1.0,0.5,,,,
A,20,10,120,spline,5,1.0,1.0,0.95,,,,
A,20,10,125,breslow,3,0.0,0.0,0.3,,,,
A,20,10,125,breslow,3,0.0,0.0,0.5,,,,
