feature_set,window_size,n_components,clipping_threshold,baseline_estimation_method,n_baseline_knots,penalizer,l1_ratio,confidence_threshold,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,20,10,125,spline,5,1.0,0.5,0.5,,,,
A,20,10,125,spline,5,1.0,0.5,0.95,,,,
A,20,10,125,spline,5,1.0,1.0,0.3,,,,
A,20,10,125,spline,5,1.0,1.0,0.5,,,,
A,20,10,125,spline,5,1.0,1.0,0.95,,,,
A,20,15,115,breslow,3,0.0,0.0,0.3,,,,
A,20,15,115,breslow,3,0.0,0.0,0.5,,,,
A,20,15,115,breslow,3,0.0,0.0,0.95,,,,
A,20,15,115,breslow,3,0.0,0.5,0.3,,,,
A,20,15,115,breslow,3,0.0,0.5,0.5,,,,
A,20,15,115,breslow,3,0.0,0.5,0.95,,,,
A,20,15,115,breslow,3,0.0,1.0,0.3,,,,
A,20,15,115,breslow,3,0.0,1.0,0.5,,,,
A,20,15,115,breslow,3,0.0,1.0,0.95,,,,
A,20,15,115,breslow,3,0.1,0.0,0.3,7193.591994833126,0.5462207491935795,36.717264605388145,49.77628490717648
A,20,15,115,breslow,3,0.1,0.0,0.5,7333.3303290062495,0.5442929729580062,36.757307621907444,49.88158824735624
A,20,15,115,breslow,3,0.1,0.0,0.95,,,,
A,20,15,115,breslow,3,0.1,0.5,0.3,7230.912864250752,0.5460325478352379,36.72326506871595,49.78873406985973
A,20,15,115,breslow,3,0.1,0.5,0.5,7333.347190314154,0.5442920775031949,36.758064123089476,49.88242254464081
A,20,15,115,breslow,3,0.1,0.5,0.95,,,,
A,20,15,115,breslow,3,0.1,1.0,0.3,7230.912864250752,0.5460325478352379,36.72326506871595,49.78873406985973
A,20,15,115,breslow,3,0.1,1.0,0.5,7333.347190314154,0.5442920775031949,36.758064123089476,49.88242254464081
A,20,15,115,breslow,3,0.1,1.0,0.95,,,,
A,20,15,115,breslow,3,1.0,0.0,0.3,7230.912864250752,0.5460325478352379,36.72326506871595,49.78873406985973
A,20,15,115,breslow,3,1.0,0.0,0.5,7333.347190314154,0.5442920775031949,36.758064123089476,49.88242254464081
A,20,15,115,breslow,3,1.0,0.0,0.95,,,,
A,20,15,115,breslow,3,1.0,0.5,0.3,7230.912864250752,0.5460325478352379,36.72326506871595,49.78873406985973
A,20,15,115,breslow,3,1.0,0.5,0.5,7333.347190314154,0.5442920775031949,36.758064123089476,49.88242254464081
A,20,15,115,breslow,3,1.0,0.5,0.95,,,,
A,20,15,115,breslow,3,1.0,1.0,0.3,7230.912864250752,0.5460325478352379,36.72326506871595,49.78873406985973
A,20,15,115,breslow,3,1.0,1.0,0.5,7333.347190314154,0.5442920775031949,36.758064123089476,49.88242254464081
A,20,15,115,breslow,3,1.0,1.0,0.95,,,,
A,20,15,115,breslow,5,0.0,0.0,0.3,,,,
A,20,15,115,breslow,5,0.0,0.0,0.5,,,,
A,20,15,115,breslow,5,0.0,0.0,0.95,,,,
A,20,15,115,breslow,5,0.0,0.5,0.3,,,,
A,20,15,115,breslow,5,0.0,0.5,0.5,,,,
A,20,15,115,breslow,5,0.0,0.5,0.95,,,,
A,20,15,115,breslow,5,0.0,1.0,0.3,,,,
A,20,15,115,breslow,5,0.0,1.0,0.5,,,,
A,20,15,115,breslow,5,0.0,1.0,0.95,,,,
A,20,15,115,breslow,5,0.1,0.0,0.3,7193.591994833126,0.5462207491935795,36.717264605388145,49.77628490717648
A,20,15,115,breslow,5,0.1,0.0,0.5,7333.3303290062495,0.5442929729580062,36.757307621907444,49.88158824735624
A,20,15,115,breslow,5,0.1,0.0,0.95,,,,
A,20,15,115,breslow,5,0.1,0.5,0.3,7230.912864250752,0.5460325478352379,36.72326506871595,49.78873406985973
A,20,15,115,breslow,5,0.1,0.5,0.5,7333.347190314154,0.5442920775031949,36.758064123089476,49.88242254464081
A,20,15,115,breslow,5,0.1,0.5,0.95,,,,
