feature_set,window_size,n_components,clipping_threshold,confidence_threshold,penalizer,l1_ratio,fit_intercept,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,20,15,115,0.95,0.1,1.0,True,,,,
A,20,15,115,0.95,0.1,1.0,False,,,,
A,20,15,115,0.95,1.0,0.0,True,,,,
A,20,15,115,0.95,1.0,0.0,False,,,,
A,20,15,115,0.95,1.0,0.5,True,,,,
A,20,15,115,0.95,1.0,0.5,False,,,,
A,20,15,115,0.95,1.0,1.0,True,,,,
A,20,15,115,0.95,1.0,1.0,False,,,,
A,20,15,120,0.3,0.0,0.0,True,,,,
A,20,15,120,0.3,0.0,0.0,False,5173.285582697514,0.5,89.0520644688299,96.5891558903126
A,20,15,120,0.3,0.0,0.5,True,,,,
A,20,15,120,0.3,0.0,0.5,False,5173.285582697514,0.5,89.0520644688299,96.5891558903126
A,20,15,120,0.3,0.0,1.0,True,,,,
A,20,15,120,0.3,0.0,1.0,False,5173.285582697514,0.5,89.0520644688299,96.5891558903126
A,20,15,120,0.3,0.1,0.0,True,,,,
A,20,15,120,0.3,0.1,0.0,False,5269.42556398305,0.5,89.72750775219433,97.1334458403528
A,20,15,120,0.3,0.1,0.5,True,,,,
A,20,15,120,0.3,0.1,0.5,False,5212.577638040541,0.5,89.34158066984057,96.80670456373642
A,20,15,120,0.3,0.1,1.0,True,,,,
A,20,15,120,0.3,0.1,1.0,False,4985.185934270506,0.5,87.79787234042553,95.49973945727088
A,20,15,120,0.3,1.0,0.0,True,,,,
A,20,15,120,0.3,1.0,0.0,False,5212.577638040541,0.5,89.34158066984057,96.80670456373642
A,20,15,120,0.3,1.0,0.5,True,,,,
A,20,15,120,0.3,1.0,0.5,False,5212.577638040541,0.5,89.34158066984057,96.80670456373642
A,20,15,120,0.3,1.0,1.0,True,534.8661976729245,0.8169040367993791,43.71330584650564,53.03150000570671
A,20,15,120,0.3,1.0,1.0,False,,,,
A,20,15,120,0.5,0.0,0.0,True,,,,
A,20,15,120,0.5,0.0,0.0,False,5173.285582697514,0.5,89.0520644688299,96.5891558903126
A,20,15,120,0.5,0.0,0.5,True,,,,
A,20,15,120,0.5,0.0,0.5,False,5173.285582697514,0.5,89.0520644688299,96.5891558903126
A,20,15,120,0.5,0.0,1.0,True,,,,
A,20,15,120,0.5,0.0,1.0,False,5173.285582697514,0.5,89.0520644688299,96.5891558903126
A,20,15,120,0.5,0.1,0.0,True,,,,
A,20,15,120,0.5,0.1,0.0,False,5269.42556398305,0.5,89.72750775219433,97.1334458403528
A,20,15,120,0.5,0.1,0.5,True,,,,
A,20,15,120,0.5,0.1,0.5,False,5212.577638040541,0.5,89.34158066984057,96.80670456373642
A,20,15,120,0.5,0.1,1.0,True,,,,
A,20,15,120,0.5,0.1,1.0,False,4985.185934270506,0.5,87.79787234042553,95.49973945727088
A,20,15,120,0.5,1.0,0.0,True,,,,
A,20,15,120,0.5,1.0,0.0,False,5212.577638040541,0.5,89.34158066984057,96.80670456373642
A,20,15,120,0.5,1.0,0.5,True,,,,
A,20,15,120,0.5,1.0,0.5,False,5212.577638040541,0.5,89.34158066984057,96.80670456373642
A,20,15,120,0.5,1.0,1.0,True,2056.9401014157297,0.6734710210755792,28.89507579239004,41.520740154882134
A,20,15,120,0.5,1.0,1.0,False,,,,
A,20,15,120,0.95,0.0,0.0,True,,,,
A,20,15,120,0.95,0.0,0.0,False,,,,
A,20,15,120,0.95,0.0,0.5,True,,,,
A,20,15,120,0.95,0.0,0.5,False,,,,
A,20,15,120,0.95,0.0,1.0,True,,,,
A,20,15,120,0.95,0.0,1.0,False,,,,
A,20,15,120,0.95,0.1,0.0,True,,,,
A,20,15,120,0.95,0.1,0.0,False,,,,
A,20,15,120,0.95,0.1,0.5,True,,,,
A,20,15,120,0.95,0.1,0.5,False,,,,
A,20,15,120,0.95,0.1,1.0,True,,,,
A,20,15,120,0.95,0.1,1.0,False,,,,
A,20,15,120,0.95,1.0,0.0,True,,,,
A,20,15,120,0.95,1.0,0.0,False,,,,
A,20,15,120,0.95,1.0,0.5,True,,,,
A,20,15,120,0.95,1.0,0.5,False,,,,
A,20,15,120,0.95,1.0,1.0,True,,,,
A,20,15,120,0.95,1.0,1.0,False,,,,
A,20,15,125,0.3,0.0,0.0,True,,,,
A,20,15,125,0.3,0.0,0.0,False,7152.989388022948,0.5,91.12450696062464,99.1813641902136
A,20,15,125,0.3,0.0,0.5,True,,,,
A,20,15,125,0.3,0.0,0.5,False,7152.989388022948,0.5,91.12450696062464,99.1813641902136
A,20,15,125,0.3,0.0,1.0,True,,,,
A,20,15,125,0.3,0.0,1.0,False,7152.989388022948,0.5,91.12450696062464,99.1813641902136
A,20,15,125,0.3,0.1,0.0,True,,,,
A,20,15,125,0.3,0.1,0.0,False,7293.25804173066,0.5,91.8460983973522,99.76835840818164
A,20,15,125,0.3,0.1,0.5,True,,,,
A,20,15,125,0.3,0.1,0.5,False,7211.562029169401,0.5,91.43418368242077,99.418052337134
A,20,15,125,0.3,0.1,1.0,True,,,,
A,20,15,125,0.3,0.1,1.0,False,6884.777978924363,0.5,89.78652482269503,98.01682805294348
A,20,15,125,0.3,1.0,0.0,True,,,,
A,20,15,125,0.3,1.0,0.0,False,7211.562029169401,0.5,91.43418368242077,99.418052337134
A,20,15,125,0.3,1.0,0.5,True,,,,
A,20,15,125,0.3,1.0,0.5,False,7211.562029169401,0.5,91.43418368242077,99.418052337134
A,20,15,125,0.3,1.0,1.0,True,698.8163169002722,0.8115855681341723,45.6881891544155,54.7803764632395
A,20,15,125,0.3,1.0,1.0,False,,,,
A,20,15,125,0.5,0.0,0.0,True,,,,
A,20,15,125,0.5,0.0,0.0,False,7152.989388022948,0.5,91.12450696062464,99.1813641902136
A,20,15,125,0.5,0.0,0.5,True,,,,
A,20,15,125,0.5,0.0,0.5,False,7152.989388022948,0.5,91.12450696062464,99.1813641902136
A,20,15,125,0.5,0.0,1.0,True,,,,
A,20,15,125,0.5,0.0,1.0,False,7152.989388022948,0.5,91.12450696062464,99.1813641902136
A,20,15,125,0.5,0.1,0.0,True,,,,
A,20,15,125,0.5,0.1,0.0,False,7293.25804173066,0.5,91.8460983973522,99.76835840818164
A,20,15,125,0.5,0.1,0.5,True,,,,
A,20,15,125,0.5,0.1,0.5,False,7211.562029169401,0.5,91.43418368242077,99.418052337134
A,20,15,125,0.5,0.1,1.0,True,,,,
A,20,15,125,0.5,0.1,1.0,False,6884.777978924363,0.5,89.78652482269503,98.01682805294348
A,20,15,125,0.5,1.0,0.0,True,,,,
A,20,15,125,0.5,1.0,0.0,False,7211.562029169401,0.5,91.43418368242077,99.418052337134
A,20,15,125,0.5,1.0,0.5,True,,,,
A,20,15,125,0.5,1.0,0.5,False,7211.562029169401,0.5,91.43418368242077,99.418052337134
A,20,15,125,0.5,1.0,1.0,True,2057.799138442024,0.6684540045860252,26.98202982759848,41.48450870716768
A,20,15,125,0.5,1.0,1.0,False,,,,
A,20,15,125,0.95,0.0,0.0,True,,,,
A,20,15,125,0.95,0.0,0.0,False,,,,
A,20,15,125,0.95,0.0,0.5,True,,,,
A,20,15,125,0.95,0.0,0.5,False,,,,
A,20,15,125,0.95,0.0,1.0,True,,,,
A,20,15,125,0.95,0.0,1.0,False,,,,
A,20,15,125,0.95,0.1,0.0,True,,,,
A,20,15,125,0.95,0.1,0.0,False,,,,
A,20,15,125,0.95,0.1,0.5,True,,,,
A,20,15,125,0.95,0.1,0.5,False,,,,
A,20,15,125,0.95,0.1,1.0,True,,,,
A,20,15,125,0.95,0.1,1.0,False,,,,
A,20,15,125,0.95,1.0,0.0,True,,,,
A,20,15,125,0.95,1.0,0.0,False,,,,
A,20,15,125,0.95,1.0,0.5,True,,,,
A,20,15,125,0.95,1.0,0.5,False,,,,
A,20,15,125,0.95,1.0,1.0,True,,,,
A,20,15,125,0.95,1.0,1.0,False,,,,
