feature_set,window_size,n_components,clipping_threshold,distribution,method,tdf,confidence_threshold,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,20,15,115,gamma,aic,3,0.5,3843.644654060332,0.5677608576604205,34.12328402909935,46.60594604836015
A,20,15,115,gamma,aic,3,0.95,4693.5224562449075,0.560856429898979,35.10467810596994,47.76721732499168
A,20,15,115,gamma,aic,5,0.3,3530.188265953092,0.5712414454404049,33.71605321622443,46.10536478842151
A,20,15,115,gamma,aic,5,0.5,3843.644654060332,0.5677608576604205,34.12328402909935,46.60594604836015
A,20,15,115,gamma,aic,5,0.95,4693.5224562449075,0.560856429898979,35.10467810596994,47.76721732499168
A,20,15,115,gaussian,em,3,0.3,3887.9282901056927,0.567704359075982,34.17045384298317,46.666869388601086
A,20,15,115,gaussian,em,3,0.5,4191.867029990732,0.5646019866283638,34.509494467937536,47.09082686720367
A,20,15,115,gaussian,em,3,0.95,4998.434399123887,0.558315324448979,35.288783404419846,48.0307801856877
A,20,15,115,gaussian,em,5,0.3,3887.9282901056927,0.567704359075982,34.17045384298317,46.666869388601086
A,20,15,115,gaussian,em,5,0.5,4191.867029990732,0.5646019866283638,34.509494467937536,47.09082686720367
A,20,15,115,gaussian,em,5,0.95,4998.434399123887,0.558315324448979,35.288783404419846,48.0307801856877
A,20,15,115,gaussian,aic,3,0.3,3712.5075391499313,0.5692006727415142,33.9480083692676,46.39717816591171
A,20,15,115,gaussian,aic,3,0.5,4037.841073409459,0.5661412943549105,34.32492241157043,46.86376401244806
A,20,15,115,gaussian,aic,3,0.95,4875.95537798322,0.5592664872160447,35.204965092456604,47.9190159753871
A,20,15,115,gaussian,aic,5,0.3,3712.5075391499313,0.5692006727415142,33.9480083692676,46.39717816591171
A,20,15,115,gaussian,aic,5,0.5,4037.841073409459,0.5661412943549105,34.32492241157043,46.86376401244806
A,20,15,115,gaussian,aic,5,0.95,4875.95537798322,0.5592664872160447,35.204965092456604,47.9190159753871
A,20,15,115,t,em,3,0.3,3524.869250521103,0.571204409888695,33.70461183933282,46.09939209532661
A,20,15,115,t,em,3,0.5,3843.6972533470375,0.568012636949429,34.14288939414966,46.62716845031254
A,20,15,115,t,em,3,0.95,4742.214402801017,0.5604683086150242,35.10511115932232,47.78627619286389
A,20,15,115,t,em,5,0.3,3503.036338549162,0.5714845012158466,33.688275451612256,46.073645594178814
A,20,15,115,t,em,5,0.5,3807.5389891604036,0.5682813854022256,34.12697644131002,46.60543974492025
A,20,15,115,t,em,5,0.95,4730.749649276104,0.5606963246251218,35.099444559910964,47.77810762296808
A,20,15,115,t,aic,3,0.3,3524.869250521103,0.571204409888695,33.70461183933282,46.09939209532661
A,20,15,115,t,aic,3,0.5,3843.6972533470375,0.568012636949429,34.14288939414966,46.62716845031254
A,20,15,115,t,aic,3,0.95,4742.214402801017,0.5604683086150242,35.10511115932232,47.78627619286389
A,20,15,115,t,aic,5,0.3,3503.036338549162,0.5714845012158466,33.688275451612256,46.073645594178814
A,20,15,115,t,aic,5,0.5,3807.5389891604036,0.5682813854022256,34.12697644131002,46.60543974492025
A,20,15,115,t,aic,5,0.95,4730.749649276104,0.5606963246251218,35.099444559910964,47.77810762296808
A,20,15,120,gamma,em,3,0.3,3608.97928558233,0.567959312574888,31.626685021934257,45.876753394352804
A,20,15,120,gamma,em,3,0.5,3907.9316245728783,0.5651046813332306,32.03047542248587,46.362726321444526
A,20,15,120,gamma,em,3,0.95,4745.353897268497,0.5584685696423488,32.96535904013943,47.4927398841471
A,20,15,120,gamma,em,5,0.3,3608.97928558233,0.567959312574888,31.626685021934257,45.876753394352804
A,20,15,120,gamma,em,5,0.5,3907.9316245728783,0.5651046813332306,32.03047542248587,46.362726321444526
A,20,15,120,gamma,em,5,0.95,4745.353897268497,0.5584685696423488,32.96535904013943,47.4927398841471
A,20,15,120,gamma,aic,3,0.3,3529.7437617079568,0.5688831393565518,31.536888317572323,45.76096261255635
A,20,15,120,gamma,aic,3,0.5,3843.200149815195,0.5655240717453444,31.944119130447245,46.265329184686834
A,20,15,120,gamma,aic,3,0.95,4693.077951999771,0.5588605796643434,32.92551320731782,47.43502504380962
A,20,15,120,gamma,aic,5,0.3,3529.7437617079568,0.5688831393565518,31.536888317572323,45.76096261255635
A,20,15,120,gamma,aic,5,0.5,3843.200149815195,0.5655240717453444,31.944119130447245,46.265329184686834
A,20,15,120,gamma,aic,5,0.95,4693.077951999771,0.5588605796643434,32.92551320731782,47.43502504380962
A,20,15,120,gaussian,em,3,0.3,3887.483785860556,0.5654651677906882,31.991288944331057,46.32636466896751
A,20,15,120,gaussian,em,3,0.5,4191.422525745596,0.5624732235663568,32.33032956928544,46.75351808370438
A,20,15,120,gaussian,em,3,0.95,4997.98989487875,0.5564084322215749,33.10961850576774,47.70043772967816
A,20,15,120,gaussian,em,5,0.3,3887.483785860556,0.5654651677906882,31.991288944331057,46.32636466896751
A,20,15,120,gaussian,em,5,0.5,4191.422525745596,0.5624732235663568,32.33032956928544,46.75351808370438
A,20,15,120,gaussian,em,5,0.95,4997.98989487875,0.5564084322215749,33.10961850576774,47.70043772967816
A,20,15,120,gaussian,aic,3,0.3,3712.0630349047947,0.566915111707915,31.76884347061549,46.055222141171136
A,20,15,120,gaussian,aic,3,0.5,4037.396569164323,0.563962231644986,32.14575751291832,46.52526991621727
A,20,15,120,gaussian,aic,3,0.95,4875.510873738086,0.5573274070421992,33.0258001938045,47.5880077303818
A,20,15,120,gaussian,aic,5,0.3,3712.0630349047947,0.566915111707915,31.76884347061549,46.055222141171136
A,20,15,120,gaussian,aic,5,0.5,4037.396569164323,0.563962231644986,32.14575751291832,46.52526991621727
A,20,15,120,gaussian,aic,5,0.95,4875.510873738086,0.5573274070421992,33.0258001938045,47.5880077303818
A,20,15,120,t,em,3,0.3,3524.4247462759668,0.5688469565716006,31.525446940680713,45.75492837595921
A,20,15,120,t,em,3,0.5,3843.252749101902,0.5657677032487664,31.96372449549755,46.286697133519354
A,20,15,120,t,em,3,0.95,4741.76989855588,0.5584863822938202,32.925946260670216,47.45425140262243
A,20,15,120,t,em,5,0.3,3502.591834304026,0.5691166078636296,31.509110552960152,45.72891194182765
A,20,15,120,t,em,5,0.5,3807.094484915267,0.5660263499115495,31.947811542657924,46.264700851008584
A,20,15,120,t,em,5,0.95,4730.305145030969,0.5587058502780673,32.92027966125886,47.44599032130027
A,20,15,120,t,aic,3,0.3,3524.4247462759668,0.5688469565716006,31.525446940680713,45.75492837595921
A,20,15,120,t,aic,3,0.5,3843.252749101902,0.5657677032487664,31.96372449549755,46.286697133519354
A,20,15,120,t,aic,3,0.95,4741.76989855588,0.5584863822938202,32.925946260670216,47.45425140262243
A,20,15,120,t,aic,5,0.3,3502.591834304026,0.5691166078636296,31.509110552960152,45.72891194182765
A,20,15,120,t,aic,5,0.5,3807.094484915267,0.5660263499115495,31.947811542657924,46.264700851008584
