feature_set,window_size,n_components,clipping_threshold,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,min_child_weight,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,20,10,115,200,0.05,5,1.0,0.8,10.0,1,3.0342164387120163,0.896305875992012,8.17619147174869,12.203702674233464
A,20,10,115,200,0.05,5,1.0,0.8,10.0,5,3.0223704030569123,0.8963242437372907,8.158425252275332,12.196325574421143
A,20,10,115,200,0.05,5,1.0,1.0,0.1,1,3.058156701610542,0.8962261560519451,8.140758148028308,12.23763907219212
A,20,10,115,200,0.05,5,1.0,1.0,0.1,5,3.0366438505910787,0.8958503614258191,8.14052835835771,12.21878187538056
A,20,10,115,200,0.05,5,1.0,1.0,1.0,1,3.0449218191667864,0.8961518244856835,8.135371982927259,12.229712733050157
A,20,10,115,200,0.05,5,1.0,1.0,1.0,5,3.036676183253636,0.8964619490300751,8.13086020521342,12.2156725192555
A,20,10,115,200,0.05,5,1.0,1.0,10.0,1,3.0284209292968995,0.8964129284487219,8.131014809944732,12.208434135621374
A,20,10,115,200,0.05,5,1.0,1.0,10.0,5,3.034086364112957,0.8967136474953167,8.12009693035608,12.203016766685852
A,20,10,115,200,0.1,3,0.8,0.8,0.1,1,2.964375938803552,0.895767283862412,8.396939598903918,12.263887723709129
A,20,10,115,200,0.1,3,0.8,0.8,0.1,5,2.972416909131208,0.8955518454044868,8.390566536023575,12.277924183769318
A,20,10,115,200,0.1,3,0.8,0.8,1.0,1,2.9665712912426607,0.8956152367096675,8.400299747652284,12.273600216377966
A,20,10,115,200,0.1,3,0.8,0.8,1.0,5,2.964385277766997,0.8955602560306086,8.390403399910394,12.272718986176498
A,20,10,115,200,0.1,3,0.8,0.8,10.0,1,2.9582051605633746,0.8956482335549033,8.3788668553043,12.255452585715243
A,20,10,115,200,0.1,3,0.8,0.8,10.0,5,2.943925964554706,0.8957198033888483,8.379886588153038,12.248291763088602
A,20,10,115,200,0.1,3,0.8,1.0,0.1,1,2.9497583293212544,0.8956926035928197,8.351795565755188,12.250112629331785
A,20,10,115,200,0.1,3,0.8,1.0,0.1,5,2.95365233418758,0.89520654968456,8.361605844688585,12.27229914645817
